id,business_name,sector,lga,ward,street,annual_revenue,employee_count,registered
2590,Le-Brown,Retail,Somolu,Ward 4 Somolu,Street 7 Ward 4 Somolu,33355095,335,True
2591,Williams Ltd,Finance,Badagry,Ward 2 Badagry,Street 4 Ward 2 Badagry,453730860,115,False
2592,Green-Pearson,Tech,Amuwo-Odofin,Ward 5 Amuwo-Odofin,Street 2 Ward 5 Amuwo-Odofin,458019109,169,False
2593,Gonzalez and Sons,Manufacturing,Epe,Ward 3 Epe,Street 6 Ward 3 Epe,243195914,34,False
2594,Wilson-Hodges,Tech,Yaba,Ward 5 Yaba,Street 9 Ward 5 Yaba,230101406,340,True
2595,Williams-Thornton,Tech,Apapa,Ward 1 Apapa,Street 2 Ward 1 Apapa,334961471,372,False
2596,Lyons-Patterson,Hospitality,Kosofe,Ward 2 Kosofe,Street 5 Ward 2 Kosofe,112740403,318,True
2597,"Sexton, Smith and Mcpherson",Retail,Agege,Ward 2 Agege,Street 3 Ward 2 Agege,435564436,211,False
2598,Bender-Booth,Hospitality,Somolu,Ward 4 Somolu,Street 10 Ward 4 Somolu,11524629,185,True
2599,Clark Group,Hospitality,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 5 Ward 1 Ifako-Ijaiye,309511266,133,False
2600,Mcdaniel and Sons,Manufacturing,Ikorodu,Ward 1 Ikorodu,Street 6 Ward 1 Ikorodu,181062918,66,True
2601,"Hawkins, Colon and Hudson",Finance,Shomolu,Ward 2 Shomolu,Street 7 Ward 2 Shomolu,268178590,417,False
2602,Hines Inc,Transport,Ajah,Ward 5 Ajah,Street 9 Ward 5 Ajah,465925387,216,False
2603,Hogan and Sons,Hospitality,Somolu,Ward 3 Somolu,Street 5 Ward 3 Somolu,446140885,221,True
2604,Anderson-Roberts,Manufacturing,Surulere,Ward 2 Surulere,Street 3 Ward 2 Surulere,98009810,178,False
2605,"Cox, Adams and Porter",Hospitality,Somolu,Ward 1 Somolu,Street 4 Ward 1 Somolu,382865014,111,True
2606,Newman LLC,Finance,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 8 Ward 3 Ifako-Ijaiye,153625668,31,True
2607,Carson LLC,Manufacturing,Epe,Ward 5 Epe,Street 1 Ward 5 Epe,360876079,219,False
2608,Mendoza and Sons,Tech,Ajah,Ward 3 Ajah,Street 2 Ward 3 Ajah,248209210,339,False
2609,Nicholson Inc,Retail,Shomolu,Ward 2 Shomolu,Street 10 Ward 2 Shomolu,365372053,301,True
2610,"Williams, Chung and Barry",Transport,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 6 Ward 3 Ifako-Ijaiye,99939251,77,False
2611,"Rodriguez, Rogers and Johnson",Finance,Ajah,Ward 1 Ajah,Street 2 Ward 1 Ajah,35580390,487,False
2612,Thomas and Sons,Transport,Ikorodu,Ward 2 Ikorodu,Street 5 Ward 2 Ikorodu,220401235,43,False
2613,Russell-Andrade,Hospitality,Victoria Island,Ward 3 Victoria Island,Street 2 Ward 3 Victoria Island,459267858,103,False
2614,Cole and Sons,Tech,Shomolu,Ward 1 Shomolu,Street 3 Ward 1 Shomolu,156025502,189,False
2615,"Hudson, Joyce and Johnson",Tech,Yaba,Ward 1 Yaba,Street 10 Ward 1 Yaba,442865561,473,False
2616,Randolph Group,Manufacturing,Surulere,Ward 1 Surulere,Street 4 Ward 1 Surulere,432240755,416,True
2617,Frost-Vang,Tech,Agege,Ward 2 Agege,Street 7 Ward 2 Agege,337383890,190,True
2618,Johnson-Weiss,Tech,Yaba,Ward 5 Yaba,Street 7 Ward 5 Yaba,60132744,370,False
2619,Bartlett LLC,Manufacturing,Apapa,Ward 3 Apapa,Street 6 Ward 3 Apapa,432229084,87,False
2620,Wright Inc,Hospitality,Yaba,Ward 4 Yaba,Street 2 Ward 4 Yaba,269816953,413,False
2621,Booth and Sons,Finance,Yaba,Ward 4 Yaba,Street 7 Ward 4 Yaba,117649588,89,False
2622,Miles Ltd,Finance,Shomolu,Ward 4 Shomolu,Street 2 Ward 4 Shomolu,352894869,199,True
2623,"Perry, King and Underwood",Tech,Eti-Osa,Ward 5 Eti-Osa,Street 10 Ward 5 Eti-Osa,19456963,143,False
2624,"Foley, Butler and Mcneil",Tech,Apapa,Ward 1 Apapa,Street 6 Ward 1 Apapa,320725323,298,False
2625,Zavala-Hurley,Retail,Mushin,Ward 5 Mushin,Street 7 Ward 5 Mushin,117665570,335,True
2626,Brown LLC,Transport,Yaba,Ward 5 Yaba,Street 7 Ward 5 Yaba,63744056,205,False
2627,Martinez-Duran,Manufacturing,Apapa,Ward 3 Apapa,Street 3 Ward 3 Apapa,452152419,376,True
2628,Reid and Sons,Transport,Ikeja,Ward 2 Ikeja,Street 4 Ward 2 Ikeja,385217950,311,True
2629,"Martinez, Wood and Evans",Retail,Victoria Island,Ward 4 Victoria Island,Street 10 Ward 4 Victoria Island,125440919,315,True
2630,Rios and Sons,Hospitality,Kosofe,Ward 4 Kosofe,Street 4 Ward 4 Kosofe,455258447,232,False
2631,"Robinson, Mcdaniel and Hernandez",Retail,Apapa,Ward 2 Apapa,Street 10 Ward 2 Apapa,492510217,176,False
2632,Anderson-Mills,Finance,Ikeja,Ward 5 Ikeja,Street 2 Ward 5 Ikeja,193324656,104,True
2633,Patterson-West,Retail,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 6 Ward 5 Oshodi-Isolo,371216496,205,True
2634,"Hart, Richardson and Dean",Real Estate,Alimosho,Ward 2 Alimosho,Street 10 Ward 2 Alimosho,116623350,78,False
2635,Huffman-Hooper,Transport,Ajah,Ward 3 Ajah,Street 5 Ward 3 Ajah,46327485,83,True
2636,Lawson-Hendricks,Retail,Surulere,Ward 4 Surulere,Street 8 Ward 4 Surulere,188444489,120,False
2637,Dixon-Martin,Retail,Shomolu,Ward 2 Shomolu,Street 10 Ward 2 Shomolu,180198063,337,True
2638,Mooney Group,Hospitality,Ikorodu,Ward 5 Ikorodu,Street 7 Ward 5 Ikorodu,346480905,319,False
2639,Wright PLC,Manufacturing,Surulere,Ward 1 Surulere,Street 1 Ward 1 Surulere,37504094,33,True
2640,Hill Group,Hospitality,Ifako-Ijaiye,Ward 5 Ifako-Ijaiye,Street 7 Ward 5 Ifako-Ijaiye,151594353,287,False
2641,"Allen, Tyler and Barker",Hospitality,Shomolu,Ward 4 Shomolu,Street 5 Ward 4 Shomolu,273281759,18,False
2642,Wiggins-Edwards,Transport,Badagry,Ward 3 Badagry,Street 1 Ward 3 Badagry,97949130,101,True
2643,Mccormick and Sons,Real Estate,Badagry,Ward 2 Badagry,Street 7 Ward 2 Badagry,441095467,236,True
2644,"Leonard, Jones and Watson",Manufacturing,Oshodi-Isolo,Ward 3 Oshodi-Isolo,Street 10 Ward 3 Oshodi-Isolo,448322273,17,True
2645,Townsend Inc,Retail,Alimosho,Ward 4 Alimosho,Street 3 Ward 4 Alimosho,73497489,100,False
2646,Shannon Inc,Retail,Ikeja,Ward 2 Ikeja,Street 8 Ward 2 Ikeja,358538938,111,True
2647,Smith PLC,Real Estate,Apapa,Ward 4 Apapa,Street 3 Ward 4 Apapa,102010802,477,True
2648,Barker PLC,Retail,Victoria Island,Ward 1 Victoria Island,Street 8 Ward 1 Victoria Island,185989601,259,False
2649,"Lyons, Weaver and Moore",Tech,Victoria Island,Ward 3 Victoria Island,Street 4 Ward 3 Victoria Island,305211182,291,False
2650,"English, Rivera and Barrett",Finance,Alimosho,Ward 5 Alimosho,Street 8 Ward 5 Alimosho,469715879,361,True
2651,Turner and Sons,Transport,Amuwo-Odofin,Ward 4 Amuwo-Odofin,Street 10 Ward 4 Amuwo-Odofin,84931580,319,True
2652,Sanders Group,Finance,Badagry,Ward 3 Badagry,Street 2 Ward 3 Badagry,497682665,100,True
2653,"Santana, Mcdonald and Wallace",Manufacturing,Agege,Ward 5 Agege,Street 8 Ward 5 Agege,340553240,333,False
2654,Roberts-Hampton,Transport,Victoria Island,Ward 3 Victoria Island,Street 4 Ward 3 Victoria Island,305094066,288,False
2655,Murphy PLC,Transport,Oshodi-Isolo,Ward 3 Oshodi-Isolo,Street 7 Ward 3 Oshodi-Isolo,477070803,312,True
2656,Mendez Group,Real Estate,Ikeja,Ward 2 Ikeja,Street 6 Ward 2 Ikeja,481579898,262,False
2657,"Mcclain, Fox and Conway",Manufacturing,Shomolu,Ward 3 Shomolu,Street 9 Ward 3 Shomolu,430784516,321,False
2658,Ward Ltd,Finance,Epe,Ward 5 Epe,Street 1 Ward 5 Epe,395038712,337,True
2659,"Price, Donaldson and Brown",Tech,Yaba,Ward 3 Yaba,Street 3 Ward 3 Yaba,236213016,194,False
2660,Ryan-Luna,Transport,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 5 Ward 5 Oshodi-Isolo,452544081,375,True
2661,"Hayes, Ortiz and Smith",Real Estate,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 4 Ward 5 Oshodi-Isolo,421622507,477,True
2662,Fisher-Foster,Retail,Alimosho,Ward 3 Alimosho,Street 8 Ward 3 Alimosho,282165028,275,True
2663,"Potter, Henry and Roman",Tech,Ikorodu,Ward 3 Ikorodu,Street 10 Ward 3 Ikorodu,199219339,487,False
2664,Cross Group,Transport,Victoria Island,Ward 3 Victoria Island,Street 1 Ward 3 Victoria Island,361972626,338,True
2665,Douglas Inc,Manufacturing,Victoria Island,Ward 2 Victoria Island,Street 10 Ward 2 Victoria Island,201449257,19,True
2666,"Moss, Watkins and Moreno",Tech,Alimosho,Ward 2 Alimosho,Street 9 Ward 2 Alimosho,237158275,468,False
2667,"Rodriguez, Delgado and Rogers",Manufacturing,Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 1 Ward 4 Oshodi-Isolo,405638912,127,True
2668,Jacobs-Adams,Hospitality,Victoria Island,Ward 1 Victoria Island,Street 6 Ward 1 Victoria Island,37269390,241,True
2669,Campbell PLC,Retail,Badagry,Ward 2 Badagry,Street 3 Ward 2 Badagry,190846082,52,True
2670,James PLC,Finance,Yaba,Ward 5 Yaba,Street 3 Ward 5 Yaba,461642483,184,True
2671,"Peters, Weber and Williams",Transport,Amuwo-Odofin,Ward 4 Amuwo-Odofin,Street 4 Ward 4 Amuwo-Odofin,470106556,147,False
2672,Evans-Hammond,Hospitality,Shomolu,Ward 3 Shomolu,Street 5 Ward 3 Shomolu,33759073,220,False
2673,Brown-Hall,Tech,Ikeja,Ward 3 Ikeja,Street 6 Ward 3 Ikeja,77164820,447,True
2674,Keller-Lee,Tech,Mushin,Ward 1 Mushin,Street 1 Ward 1 Mushin,337832953,140,True
2675,Schwartz-Curry,Manufacturing,Mushin,Ward 5 Mushin,Street 9 Ward 5 Mushin,31621802,16,True
2676,Braun PLC,Hospitality,Somolu,Ward 1 Somolu,Street 1 Ward 1 Somolu,306785340,63,False
2677,"Young, Kelly and Vaughan",Retail,Agege,Ward 2 Agege,Street 7 Ward 2 Agege,53945978,204,True
2678,Pacheco-Williams,Transport,Eti-Osa,Ward 4 Eti-Osa,Street 1 Ward 4 Eti-Osa,442217582,202,False
2679,"Romero, Hernandez and Klein",Manufacturing,Ikeja,Ward 5 Ikeja,Street 10 Ward 5 Ikeja,285939941,95,False
2680,Walker-Clements,Transport,Alimosho,Ward 2 Alimosho,Street 10 Ward 2 Alimosho,142811428,215,True
2681,"Butler, Alvarez and Morse",Hospitality,Shomolu,Ward 1 Shomolu,Street 2 Ward 1 Shomolu,433160616,92,False
2682,Schmidt-Evans,Tech,Badagry,Ward 1 Badagry,Street 2 Ward 1 Badagry,233304427,59,True
2683,Ruiz-Bass,Finance,Shomolu,Ward 4 Shomolu,Street 6 Ward 4 Shomolu,324261144,12,True
2684,Brewer LLC,Finance,Agege,Ward 4 Agege,Street 7 Ward 4 Agege,239729159,213,True
2685,Rojas-Nichols,Hospitality,Ikorodu,Ward 1 Ikorodu,Street 1 Ward 1 Ikorodu,396437205,243,True
2686,"Green, Turner and Morrow",Retail,Agege,Ward 4 Agege,Street 4 Ward 4 Agege,119235351,262,False
2687,"Taylor, Morrison and Wagner",Real Estate,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 4 Ward 5 Oshodi-Isolo,472671803,330,False
2688,Andrade PLC,Real Estate,Eti-Osa,Ward 2 Eti-Osa,Street 6 Ward 2 Eti-Osa,192509313,224,True
2689,Baker LLC,Real Estate,Apapa,Ward 3 Apapa,Street 6 Ward 3 Apapa,138625848,78,True
2690,"Garcia, Meyer and Morales",Transport,Apapa,Ward 3 Apapa,Street 10 Ward 3 Apapa,371125196,366,True
2691,"Levy, Wise and Johnson",Hospitality,Apapa,Ward 5 Apapa,Street 3 Ward 5 Apapa,144214715,419,True
2692,Odonnell-Thompson,Tech,Lekki,Ward 5 Lekki,Street 3 Ward 5 Lekki,378517563,222,True
2693,"Armstrong, Mcdaniel and Petty",Manufacturing,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 4 Ward 4 Ifako-Ijaiye,481334318,372,True
2694,"Larson, Quinn and Smith",Real Estate,Surulere,Ward 5 Surulere,Street 7 Ward 5 Surulere,47447912,296,False
2695,Dillon-Martin,Transport,Ikeja,Ward 2 Ikeja,Street 3 Ward 2 Ikeja,489844959,438,True
2696,Howard Inc,Retail,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 8 Ward 3 Ifako-Ijaiye,59344394,427,False
2697,"Watts, Smith and Cole",Hospitality,Ikeja,Ward 5 Ikeja,Street 8 Ward 5 Ikeja,112516491,185,True
2698,Shelton Inc,Finance,Somolu,Ward 3 Somolu,Street 10 Ward 3 Somolu,163474735,198,True
2699,Skinner-Peck,Manufacturing,Yaba,Ward 1 Yaba,Street 10 Ward 1 Yaba,338021574,131,False
2700,"Allen, Gonzalez and Dawson",Transport,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 5 Ward 5 Oshodi-Isolo,73460523,473,False
2701,West and Sons,Tech,Kosofe,Ward 4 Kosofe,Street 2 Ward 4 Kosofe,383799523,102,True
2702,Mccall Group,Transport,Kosofe,Ward 2 Kosofe,Street 4 Ward 2 Kosofe,476162328,307,True
2703,Snyder LLC,Hospitality,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 2 Ward 4 Ifako-Ijaiye,166116034,183,True
2704,Odom-Smith,Tech,Apapa,Ward 5 Apapa,Street 5 Ward 5 Apapa,11009307,240,True
2705,Obrien LLC,Tech,Kosofe,Ward 5 Kosofe,Street 8 Ward 5 Kosofe,339483595,457,True
2706,Harris LLC,Retail,Alimosho,Ward 2 Alimosho,Street 7 Ward 2 Alimosho,320087306,267,False
2707,Noble-Harris,Tech,Yaba,Ward 1 Yaba,Street 7 Ward 1 Yaba,27305806,81,False
2708,Norton Ltd,Real Estate,Oshodi-Isolo,Ward 1 Oshodi-Isolo,Street 6 Ward 1 Oshodi-Isolo,288759405,454,True
2709,"Wilson, Barnett and Walker",Finance,Ikeja,Ward 2 Ikeja,Street 8 Ward 2 Ikeja,494092870,51,False
2710,Chavez-Pineda,Manufacturing,Oshodi-Isolo,Ward 1 Oshodi-Isolo,Street 9 Ward 1 Oshodi-Isolo,26023114,183,False
2711,Rodriguez and Sons,Finance,Epe,Ward 2 Epe,Street 2 Ward 2 Epe,323413720,26,False
2712,Powell PLC,Tech,Kosofe,Ward 4 Kosofe,Street 9 Ward 4 Kosofe,359564333,56,True
2713,Osborne PLC,Retail,Lekki,Ward 4 Lekki,Street 8 Ward 4 Lekki,374389126,438,False
2714,Buck Inc,Tech,Shomolu,Ward 2 Shomolu,Street 10 Ward 2 Shomolu,293767519,16,False
2715,"Mccullough, Green and Murray",Tech,Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 9 Ward 1 Amuwo-Odofin,207384600,292,True
2716,Patrick-Lewis,Manufacturing,Amuwo-Odofin,Ward 3 Amuwo-Odofin,Street 7 Ward 3 Amuwo-Odofin,373758506,11,True
2717,Bowen-Kirby,Hospitality,Ikorodu,Ward 3 Ikorodu,Street 4 Ward 3 Ikorodu,200608256,116,False
2718,Bowman and Sons,Tech,Ikeja,Ward 5 Ikeja,Street 6 Ward 5 Ikeja,200063455,136,True
2719,"Banks, Williams and Welch",Transport,Somolu,Ward 5 Somolu,Street 5 Ward 5 Somolu,308317061,452,True
2720,Wallace-Bates,Finance,Ajah,Ward 3 Ajah,Street 9 Ward 3 Ajah,286732148,50,True
2721,Bradley-Wong,Finance,Amuwo-Odofin,Ward 4 Amuwo-Odofin,Street 7 Ward 4 Amuwo-Odofin,398169910,24,True
2722,Lambert-Martinez,Manufacturing,Somolu,Ward 5 Somolu,Street 4 Ward 5 Somolu,298902695,196,False
2723,Warren-Parker,Real Estate,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 7 Ward 5 Oshodi-Isolo,123581746,100,False
2724,"Clark, Moore and Bender",Manufacturing,Oshodi-Isolo,Ward 1 Oshodi-Isolo,Street 3 Ward 1 Oshodi-Isolo,196824668,405,True
2725,Chavez-Meyer,Retail,Apapa,Ward 2 Apapa,Street 4 Ward 2 Apapa,255131863,62,False
2726,Gallagher-Vang,Transport,Ajah,Ward 3 Ajah,Street 5 Ward 3 Ajah,223277096,316,True
2727,Lopez Inc,Finance,Ifako-Ijaiye,Ward 2 Ifako-Ijaiye,Street 5 Ward 2 Ifako-Ijaiye,6778980,243,False
2728,"Wolfe, Johnson and Steele",Transport,Eti-Osa,Ward 4 Eti-Osa,Street 5 Ward 4 Eti-Osa,218026393,93,True
2729,Evans Group,Transport,Kosofe,Ward 5 Kosofe,Street 5 Ward 5 Kosofe,439133524,305,False
2730,"Roberts, Smith and Miller",Finance,Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 6 Ward 4 Oshodi-Isolo,141507829,430,True
2731,"Thomas, Mcintyre and Landry",Transport,Agege,Ward 5 Agege,Street 8 Ward 5 Agege,116943569,94,True
2732,"Garcia, Silva and Holt",Manufacturing,Ajah,Ward 4 Ajah,Street 9 Ward 4 Ajah,243882760,440,True
2733,Jordan Group,Finance,Badagry,Ward 3 Badagry,Street 2 Ward 3 Badagry,302672007,256,True
2734,Ortega LLC,Hospitality,Ikeja,Ward 5 Ikeja,Street 2 Ward 5 Ikeja,109976301,245,False
2735,Romero Ltd,Transport,Ajah,Ward 1 Ajah,Street 5 Ward 1 Ajah,261649755,480,False
2736,"Hunter, Butler and Ortiz",Retail,Apapa,Ward 5 Apapa,Street 7 Ward 5 Apapa,279793671,382,True
2737,"Sims, Brown and Thompson",Transport,Ajah,Ward 1 Ajah,Street 5 Ward 1 Ajah,221232989,307,False
2738,Garcia-Cisneros,Hospitality,Surulere,Ward 4 Surulere,Street 10 Ward 4 Surulere,284266698,384,True
2739,Edwards-Miller,Hospitality,Victoria Island,Ward 1 Victoria Island,Street 7 Ward 1 Victoria Island,168330786,221,False
2740,Thompson-Turner,Finance,Yaba,Ward 2 Yaba,Street 5 Ward 2 Yaba,424767942,146,True
2741,Miller LLC,Manufacturing,Kosofe,Ward 5 Kosofe,Street 5 Ward 5 Kosofe,239437585,348,False
2742,Boyer Inc,Transport,Victoria Island,Ward 3 Victoria Island,Street 7 Ward 3 Victoria Island,222328055,492,False
2743,"Smith, Berry and Brown",Transport,Amuwo-Odofin,Ward 4 Amuwo-Odofin,Street 7 Ward 4 Amuwo-Odofin,194953303,400,True
2744,"Knight, Blair and Hall",Real Estate,Oshodi-Isolo,Ward 3 Oshodi-Isolo,Street 5 Ward 3 Oshodi-Isolo,77497090,389,True
2745,Phillips-Perez,Tech,Lekki,Ward 2 Lekki,Street 6 Ward 2 Lekki,377725436,422,True
2746,"Peterson, Turner and Perry",Retail,Yaba,Ward 1 Yaba,Street 9 Ward 1 Yaba,95641211,348,False
2747,Herman Ltd,Manufacturing,Oshodi-Isolo,Ward 2 Oshodi-Isolo,Street 8 Ward 2 Oshodi-Isolo,473108822,330,False
2748,"Walker, Long and Thomas",Finance,Ajah,Ward 4 Ajah,Street 8 Ward 4 Ajah,219962275,278,True
2749,"Ibarra, Wong and Adams",Finance,Surulere,Ward 3 Surulere,Street 1 Ward 3 Surulere,161507789,311,False
2750,Sharp-Dawson,Retail,Alimosho,Ward 4 Alimosho,Street 5 Ward 4 Alimosho,455587560,177,False
2751,Jacobs LLC,Finance,Victoria Island,Ward 5 Victoria Island,Street 10 Ward 5 Victoria Island,164325371,464,False
2752,Sharp-Schultz,Finance,Apapa,Ward 5 Apapa,Street 2 Ward 5 Apapa,81797573,151,False
2753,Garrett-Hall,Transport,Shomolu,Ward 3 Shomolu,Street 6 Ward 3 Shomolu,233139753,316,True
2754,"Johnson, Bell and Robinson",Tech,Eti-Osa,Ward 5 Eti-Osa,Street 6 Ward 5 Eti-Osa,7721281,272,True
2755,Bowen Inc,Real Estate,Lekki,Ward 3 Lekki,Street 2 Ward 3 Lekki,139063926,331,False
2756,"Castro, Lewis and Harris",Transport,Epe,Ward 3 Epe,Street 8 Ward 3 Epe,351182184,84,False
2757,"Burns, Lang and Perez",Retail,Agege,Ward 3 Agege,Street 7 Ward 3 Agege,283615665,415,False
2758,"Swanson, Sampson and Ferguson",Finance,Lekki,Ward 2 Lekki,Street 6 Ward 2 Lekki,468116801,17,False
2759,Johnson-Lynch,Finance,Ikorodu,Ward 1 Ikorodu,Street 8 Ward 1 Ikorodu,85468163,412,True
2760,"Phillips, Richardson and Vaughan",Hospitality,Kosofe,Ward 2 Kosofe,Street 2 Ward 2 Kosofe,202072167,358,False
2761,"Adams, Smith and Phelps",Hospitality,Yaba,Ward 5 Yaba,Street 3 Ward 5 Yaba,435196172,137,True
2762,Roberts Ltd,Finance,Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 6 Ward 4 Oshodi-Isolo,18677361,198,True
2763,"Dougherty, Brooks and Ramos",Hospitality,Agege,Ward 5 Agege,Street 9 Ward 5 Agege,431728899,415,False
2764,"Rodriguez, Baker and Evans",Retail,Lekki,Ward 2 Lekki,Street 9 Ward 2 Lekki,194679385,37,True
2765,Hodges-Washington,Retail,Ikorodu,Ward 1 Ikorodu,Street 5 Ward 1 Ikorodu,77145353,477,False
2766,"Phillips, Hamilton and Williams",Hospitality,Ikorodu,Ward 4 Ikorodu,Street 5 Ward 4 Ikorodu,446735232,83,True
2767,"Porter, Garcia and Blake",Real Estate,Kosofe,Ward 3 Kosofe,Street 3 Ward 3 Kosofe,432593983,230,True
2768,Anderson and Sons,Finance,Yaba,Ward 1 Yaba,Street 1 Ward 1 Yaba,97723485,409,True
2769,Olsen Inc,Retail,Amuwo-Odofin,Ward 4 Amuwo-Odofin,Street 3 Ward 4 Amuwo-Odofin,430065514,155,False
2770,Horn-Fisher,Transport,Amuwo-Odofin,Ward 3 Amuwo-Odofin,Street 6 Ward 3 Amuwo-Odofin,147351960,499,False
2771,"Noble, Meyer and Steele",Retail,Epe,Ward 5 Epe,Street 1 Ward 5 Epe,210800785,384,False
2772,Smith Group,Manufacturing,Epe,Ward 5 Epe,Street 3 Ward 5 Epe,283758913,284,True
2773,"Bailey, Wilson and Chandler",Manufacturing,Yaba,Ward 3 Yaba,Street 3 Ward 3 Yaba,493549765,428,True
2774,Bell LLC,Retail,Somolu,Ward 4 Somolu,Street 5 Ward 4 Somolu,399397131,103,False
2775,Bird-Miller,Finance,Epe,Ward 5 Epe,Street 10 Ward 5 Epe,51160263,366,False
2776,"Rivas, Boyle and Graves",Hospitality,Victoria Island,Ward 5 Victoria Island,Street 3 Ward 5 Victoria Island,75650738,320,True
2777,Young Inc,Real Estate,Ikeja,Ward 3 Ikeja,Street 1 Ward 3 Ikeja,370517873,457,False
2778,"Gonzalez, Guerrero and Macias",Retail,Amuwo-Odofin,Ward 2 Amuwo-Odofin,Street 9 Ward 2 Amuwo-Odofin,276330162,195,True
2779,"Reese, Faulkner and Schaefer",Real Estate,Victoria Island,Ward 4 Victoria Island,Street 7 Ward 4 Victoria Island,227596494,40,False
2780,Meyer-Pruitt,Hospitality,Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 7 Ward 1 Amuwo-Odofin,185073662,81,False
2781,"Smith, Mack and Moody",Transport,Amuwo-Odofin,Ward 4 Amuwo-Odofin,Street 6 Ward 4 Amuwo-Odofin,278515448,451,False
2782,Olsen Inc,Real Estate,Victoria Island,Ward 5 Victoria Island,Street 10 Ward 5 Victoria Island,493229493,33,True
2783,Murphy Ltd,Finance,Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 10 Ward 1 Amuwo-Odofin,330889595,13,True
2784,Gonzalez Inc,Transport,Kosofe,Ward 5 Kosofe,Street 2 Ward 5 Kosofe,411537335,187,True
2785,Marshall-Oconnell,Hospitality,Victoria Island,Ward 1 Victoria Island,Street 3 Ward 1 Victoria Island,277181218,72,True
2786,Bennett-Christensen,Finance,Somolu,Ward 5 Somolu,Street 2 Ward 5 Somolu,363934292,345,False
2787,Chen-Adams,Retail,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 9 Ward 1 Ifako-Ijaiye,103240766,66,False
2788,"Hurley, Hester and Alvarado",Retail,Alimosho,Ward 5 Alimosho,Street 5 Ward 5 Alimosho,371664989,184,True
2789,Lam Group,Hospitality,Agege,Ward 2 Agege,Street 4 Ward 2 Agege,279640564,191,True
2790,Mccarthy-Knight,Transport,Amuwo-Odofin,Ward 3 Amuwo-Odofin,Street 7 Ward 3 Amuwo-Odofin,290808226,356,True
2791,Humphrey-Paul,Manufacturing,Agege,Ward 2 Agege,Street 4 Ward 2 Agege,420612940,373,False
2792,Turner-Velasquez,Tech,Alimosho,Ward 2 Alimosho,Street 8 Ward 2 Alimosho,47217311,279,True
2793,Chambers-Odom,Tech,Alimosho,Ward 3 Alimosho,Street 2 Ward 3 Alimosho,189283497,58,False
2794,"Coleman, Ponce and Hall",Real Estate,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 8 Ward 1 Ifako-Ijaiye,18648801,207,True
2795,Ortega and Sons,Manufacturing,Kosofe,Ward 1 Kosofe,Street 7 Ward 1 Kosofe,259390164,223,False
2796,Adkins-Woods,Tech,Epe,Ward 2 Epe,Street 1 Ward 2 Epe,372850482,449,False
2797,Grant Ltd,Hospitality,Ajah,Ward 5 Ajah,Street 1 Ward 5 Ajah,420676166,15,True
2798,"Thompson, Davis and Matthews",Retail,Shomolu,Ward 1 Shomolu,Street 2 Ward 1 Shomolu,474940290,442,True
2799,Smith-Patterson,Tech,Surulere,Ward 3 Surulere,Street 8 Ward 3 Surulere,374259086,252,False
2800,Johnson-Thompson,Real Estate,Ikeja,Ward 2 Ikeja,Street 10 Ward 2 Ikeja,132687734,365,False
2801,Goodwin PLC,Finance,Eti-Osa,Ward 3 Eti-Osa,Street 7 Ward 3 Eti-Osa,47635034,444,False
2802,Wolf Inc,Transport,Alimosho,Ward 2 Alimosho,Street 9 Ward 2 Alimosho,300942544,20,False
2803,Carpenter LLC,Finance,Surulere,Ward 4 Surulere,Street 4 Ward 4 Surulere,298945883,220,True
2804,"Sexton, Wu and Ayala",Real Estate,Amuwo-Odofin,Ward 2 Amuwo-Odofin,Street 1 Ward 2 Amuwo-Odofin,75975988,317,True
2805,Blankenship-Dennis,Real Estate,Ikorodu,Ward 2 Ikorodu,Street 4 Ward 2 Ikorodu,494467728,163,True
2806,"Mcgee, Whitaker and Edwards",Finance,Surulere,Ward 4 Surulere,Street 8 Ward 4 Surulere,308171195,151,True
2807,"Lamb, Booth and Jones",Manufacturing,Ajah,Ward 2 Ajah,Street 10 Ward 2 Ajah,52378757,236,False
2808,Fields Ltd,Hospitality,Lekki,Ward 3 Lekki,Street 3 Ward 3 Lekki,494908924,236,True
2809,"Ramos, Martin and West",Hospitality,Eti-Osa,Ward 3 Eti-Osa,Street 5 Ward 3 Eti-Osa,211668339,327,False
